state,county,population,zips
WI,Rusk,4978,54819 54563 54848 54526 54563 54766 54731 54526 54895 54530 54848
WI,St. Croix,52899,54015 54017 54025 54016 54026 54027 54013 54002 54016 54007 54013 54023 54016 54082 54028
WI,Polk,15860,54837 54824 54810 54001 54020 54004 54837 54858 54853 54024 54005 54024 54009
WI,Adams,5278,54613 53934 54613 53934 54457 53936 53910 54457 54457
WI,Kewaunee,8677,54216 54205 54201 54217
WI,Barron,22130,54829 54868 54822 54889 54812 54813 54822 54762 54841 54868 54728 54733 54805
WI,Waupaca,29701,54961 54977 54983 54945 54990 54929 54950 54981 54946 54981 54981 54949 54940 54961 54962 54950 54486 54926 54929 54933
WI,Brown,332006,54126 54311 54115 54311 54302 54304 54303 54301 54305 54306 54308 54173 54313 54313 54115 54304 54313 54303 54307 54301 54324 54180 54217 54313 54115 54155 54115 54344 54162 54208
WI,La Crosse,144560,54656 54653 54614 54601 54669 54614 54650 54601 54603 54602 54603 54636 54650
WI,Price,4603,54537 54515 54555 54556 54459 54552
WI,Langlade,8771,54409 54491 54428 54428 54485 54424
WI,Menominee,3916,54135 54150 54135 54124 54150 54150 54135
WI,Eau Claire,118160,54720 54741 54722 54703 54701 54702 54742
WI,Washington,135182,53002 53076 53022 53090 53095 53037 53027 53040 53090 53095 53060 53076 53033 53017 53086
WI,Green,20489,53520 53522 53574 53521 53566 53502 53570 53550
WI,Winnebago,139316,54963 54952 54956 54963 54934 54986 54947 54985 54904 54901 54902 54903 54906 54927 54986 54904 54952 54956 54957 54964 54963 54980
WI,Rock,157584,53534 53511 53512 53563 53525 53545 53546 53548 53547 53576 53548 53536 53576 53537 53548
WI,Door,10838,54202 54235 54209 54213 54235 54210 54211 54234
WI,Richland,7514,53556 53573 53581 54634 53581 53556 53584 53581 53924 54664 53540 53556
WI,Marquette,4346,53953 53949 53949 53930 53952 54960 53964
WI,Pepin,2866,54769 54759 54721 54736
WI,Lincoln,12487,54487 54452
WI,Douglas,29289,54838 54880 54864 54873 54820 54880 54849
WI,Lafayette,7988,53541 53803 53516 53504 53530 53510 53586 53541 53504 53587 53599 53587
WI,Taylor,6315,54480 54490 54470 54766 54451 54451 54447 54433 54451
WI,Vilas,3528,54560 54512 54521 54538
WV,Pocahontas,2195,24915 24946 26264 24920 24954 24927 24915 24944 26264 24920 24954
WV,Logan,23021,25611 25601 25638 25649 25647 25635 25634 25632 25601 25625 25637 25601 25617 25634 25601 25601 25614 25508 25606 25601 25505 25624 25628 25607 25647 25652 25638 25612 25646 25601 25606 25607 25632 25646 25644 25638
WV,Nicholas,8130,26651 26691 26681 26656 26610 25059 26205 26261 26202
WV,Preston,7705,26705 26444 26525 26525 26425 26537 26519 26542 26547 26410 26764
WV,Wyoming,7386,24870 24874 25882 24867 25845 24870 24854 24849 24860 24818 25882 25826 25810 24847 24719 25882 24716 24726
WV,Kanawha,218403,25071 25306 25015 25015 25315 25015 25313 25356 25320 25102 25045 25305 25304 25303 25302 25301 25311 25312 25314 25317 25321 25322 25323 25324 25325 25326 25327 25328 25329 25330 25331 25332 25333 25334 25335 25336 25337 25338 25339 25350 25364 25375 25387 25392 25396 25177 25202 25177 25177 25064 25315 25306 25309 25303 25389 25110 25086 25039 25302 25071 25067 25143 25064 25162 25136 25035
WV,McDowell,7415,24844 24881 24815 24861 24801 24895 24892 24816 24844 24817 24853 24879 24868 24888 24836 24808 24813 24868 24826 24871 24853 24868 24828
WV,Putnam,27693,25159 25213 25109 25168 25070 25526 25560 25569 25011 25033 25526
WV,Barbour,5690,26416 26250 26201 26275 26250 26347 26349
WV,Brooke,9692,26070 26037 26030 26070 26075 26032 26070 26075 26037
WV,Marion,44790,26571 26554 26555 26582 26588 26574 26559 26554 26563 26591 26570 26576 26554 26578 26554 26591 26587 26554 26588
WV,Jefferson,40125,25430 25425 25442 25438 25430 25414 25425 25425 25443
WV,Wood,87224,26187 26104 26101 26181 26105 26187 26181 26184 26101 26181 26150 26104 26101 26103
WV,Lincoln,4293,25523 25571 25506 25524 25003
WV,Harrison,63553,26451 26568 26431 26426 26422 26448 26431 26385 26426 26330 26323 26330 26301 26330 26306 26386 26369 26301 26301 26438 26404 26301 26431 26361
WV,Monongalia,97964,26534 26521 26501 26502 26501 26505 26504 26508 26507 26531 26508 26541 26544 26541 26501 26527 26505
WV,Wirt,827,26143
WV,Tucker,3205,26269 26287 26287 26292 26260 26260 26271
WV,Wayne,7953,25530 25570 25669 25535 25514 25704 25507 25555
WV,Doddridge,833,26456
WV,Ohio,82641,26059 26003 26074 26060 26059 26003 26003 26003
WV,Tyler,4646,26149 26159 26146 26175
WV,Mason,15027,25260 25502 25265 25253 25247 25515 25106 25123 25550
WV,Raleigh,82508,25915 25801 25871 25817 25880 25818 25921 25827 25801 25880 25909 25832 25813 25801 25860 25927 25921 25853 25801 25873 25801 25801 25906 25801 25836 25849 25865 25843 25832 25918 25989 25801 25827 25832 25813 25823
WV,Berkeley,22135,25420 25428 25419 25403 25401 25404 25402 25427
WV,Wetzel,7386,26437 26155 26167 26419 26575 26581 26377
WV,Cabell,212228,25559 25541 25705 25504 25702 25537 25504 25703 25702 25701 25705 25704 25706 25708 25709 25710 25711 25712 25713 25714 25716 25717 25718 25719 25720 25721 25722 25723 25724 25725 25726 25727 25728 25729 25755 25772 25773 25774 25775 25776 25777 25778 25510
WV,Lewis,5296,26378 26452
WV,Mingo,7310,25661 25667 25608 25692 25686 25688 25678 25674 24851 25621 25670 25661 25621
WV,Boone,6486,25053 25053 25209 25049 25204 25130 25165 25024 25193 25181 25206
WV,Ritchie,3633,26362 26346 26337 26415 26421 26325 26415
WV,Mercer,53694,24740 24701 24740 24712 24740 24736 24733 24747 24715 24724 24701 24701 24737 24747 24701
WV,Randolph,14784,26259 26253 26230 26257 26224 26280 26253 26273 26293 26270 26296 26253 26241 26241 26294 26283
WV,Fayette,20447,25917 25173 25907 25880 25917 25888 25057 25031 25901 25855 25936 25085 25152 25880 25904 25118 25139 25854 25118 25161 25186 25090 25976 25139 25840 25846 25879 25840 25901 25040 25812 25119 25040 25002
WV,Braxton,2621,26412 26335 26624 26601 26621 26601
WV,Monroe,1186,24963 24983
WV,Hardy,2873,26836 26851
WV,Gilmer,3424,26351 26430
WV,Roane,2879,25276 25270
WV,Mineral,11600,26767 26753 26726 26710 26753 26717 26750 26753 26719
WV,Pendleton,762,26802 26807
WV,Morgan,1475,25411 25434 25422
WV,Summers,2410,25951
WV,Hampshire,2645,26763 26711 26722 26757
WV,Greenbrier,18654,24986 24910 24966 25962 24901 24970 24902 25981 24901 24970 24901 25984
WV,Calhoun,531,26147
WV,Jackson,8167,25271 26164
WV,Taylor,6135,26347 26354
WV,Webster,1450,26206 26288 26208 26298 26288
WV,Grant,2944,26707 26847
WV,Marshall,13860,26031 26041 26038 26033 26040
WV,Clay,456,25043
WV,Pleasants,5022,26134 26170
WV,Hancock,71914,26050 26034 26062 26047
WV,Upshur,8560,26201
HI,Hawaii,164382,96776 96772 96749 96738 96743 96704 96750 96755 96719 96755 96781 96728 96777 96727 96785 96720 96778 96721 96743 96749 96771 96760 96771 96740 96772 96727 96720 96778 96771 96771 96725 96778 96737 96704 96726 96749 96772 96771 96749 96725 96740 96740 96745 96750 96783 96720 96771 96760 96764 96778 96755 96778 96738
HI,Kauai,65824,96714 96766 96756 96741 96714 96714 96746 96746 96716 96769 96722 96705 96766 96756 96716 96752 96747 96746 96754 96756 96765 96756 96741 96703 96746 96754 96766
HI,Maui,159365,96748 96761 96732 96733 96770 96708 96761 96748 96790 96753 96779 96761 96767 96768 96793 96761 96790 96793 96713 96757 96729 96753 96761 96768 96768 96788 96763 96790 96784 96790 96753 96793 96768 96761 96793 96763 96761
HI,Honolulu,1449479,96744 96792 96706 96706 96717 96707 96857 96786 96706 96730 96744 96797 96731 96701 96782 96744 96789 96731 96744 96701 96818 96712 96762 96717 96792 96734 96863 96744 96859 96850 96822 96826 96813 96815 96814 96817 96816 96819 96818 96801 96802 96803 96804 96805 96806 96807 96808 96809 96810 96811 96812 96820 96823 96828 96830 96836 96837 96838 96839 96840 96841 96843 96844 96846 96847 96848 96849 96858 96898 96712 96791 96701 96707 96707 96786 96706 96709 96789 96786 96854 96792 96797 96701 96707 96795 96821 96825 96824 96797 96797 96792 96789 96791 96706 96795 96734 96744 96853 96818 96791 96792 96789 96706 96786 96734
FL,Monroe,78211,33037 33070 33036 33070 33043 33050 33052 33040 33040 33051 33040 33041 33045 33037 33050 33042 33001
FL,Gilchrist,4817,32693 32693 32619 32643
FL,Broward,1934198,33305 33334 33311 33321 33319 33349 33359 33076 33067 33024 33026 33330 33328 33063 33068 33093 33322 33323 33324 33325 33317 33313 33318 33329 33337 33388 33073 33063 33066 33019 33024 33023 33021 33020 33004 33316 33312 33022 33081 33082 33302 33311 33064 33306 33309 33334 33311 33310 33335 33009 33008 33322 33323 33326 33351 33313 33307 33345 33311 33073 33023 33311 33331 33330 33332 33351 33313 33311 33319 33083 33311 33029 33028 33024 33026 33023 33027 33025 33084 33068 33317 33023 33009 33309 33313 33311 33319 33071 33076 33065 33067 33075 33077 33308 33062 33303 33324 33325 33331 33330 33328 33317 33314 33355 33062 33004 33312 33308 33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394 33305 33029 33023 33027 33025 33069 33060 33062 33064 33061 33072 33074 33097 33442 33441 33064 33443 33326 33327 33331 33332
